device,os,os_version,browser,browser_version,url,result,reasoning,public_url,page_source,timestamp
,Windows,7,firefox,110.0,hxxps://docs.google.com/presentation/d/e/2PACX-1vQsd6Xnh_IU_K57GHcIHF6gIi30qS96eX5m1iVLkinx2W_kdOOKlhUprxHXDLv-x2S8jbyAGgyQX2d0/pub?start=false&amp;loop=false&amp;delayms=3000,0,Page allowed; not blocked,https://automate.browserstack.com/builds/eaf81bfbbe769bba84f0f790ea2af1ecc05aff1c/sessions/0461bda2f1ce617cfacf7c94f0942c50424aefe3?auth_token=3628b504c60f0493a3fadefb9544198179fa8f791eeabf321477f563b0e73656,,2024-11-19 19:17:36:2
,Windows,7,firefox,110.0,hxxps://login-wise.aonenutrition.com/profile/en/,0,Page allowed; not blocked,https://automate.browserstack.com/builds/eaf81bfbbe769bba84f0f790ea2af1ecc05aff1c/sessions/0461bda2f1ce617cfacf7c94f0942c50424aefe3?auth_token=3628b504c60f0493a3fadefb9544198179fa8f791eeabf321477f563b0e73656,,2024-11-19 19:17:40:200
,Windows,7,firefox,110.0,hxxps://shop.naturacenter.es/wise,0,Page allowed; not blocked,https://automate.browserstack.com/builds/eaf81bfbbe769bba84f0f790ea2af1ecc05aff1c/sessions/0461bda2f1ce617cfacf7c94f0942c50424aefe3?auth_token=3628b504c60f0493a3fadefb9544198179fa8f791eeabf321477f563b0e73656,,2024-11-19 19:17:48:46
,Windows,7,firefox,110.0,hxxps://oolx.29415065.xyz/bye5n56j/VQgywL/8,-1,Generic Not Found (1): Page not found,https://automate.browserstack.com/builds/eaf81bfbbe769bba84f0f790ea2af1ecc05aff1c/sessions/0461bda2f1ce617cfacf7c94f0942c50424aefe3?auth_token=3628b504c60f0493a3fadefb9544198179fa8f791eeabf321477f563b0e73656,,2024-11-19 19:17:50:804
,Windows,7,firefox,110.0,hxxps://accountid20242.wpenginepowered.com/user/login/,0,Page allowed; not blocked,https://automate.browserstack.com/builds/eaf81bfbbe769bba84f0f790ea2af1ecc05aff1c/sessions/0461bda2f1ce617cfacf7c94f0942c50424aefe3?auth_token=3628b504c60f0493a3fadefb9544198179fa8f791eeabf321477f563b0e73656,,2024-11-19 19:17:53:59
,Windows,7,firefox,110.0,hxxps://allegrolokalnie.pl-prywatna-oferta-id43232.buzz/Ke-n-DPwPGIQFPdH2WO_Btz4kWqmqTZrLt6lRG5_A6zbftX-sfLzlP3lP7eLBw4nN6eiUjPtY6YxVbTxzewOyw==,-1,Cloudflare SSL Handshake (1): SSL handshake failed,https://automate.browserstack.com/builds/eaf81bfbbe769bba84f0f790ea2af1ecc05aff1c/sessions/0461bda2f1ce617cfacf7c94f0942c50424aefe3?auth_token=3628b504c60f0493a3fadefb9544198179fa8f791eeabf321477f563b0e73656,,2024-11-19 19:17:55:457
,Windows,7,firefox,110.0,hxxps://bybit--llogin.webflow.io/,0,Page allowed; not blocked,https://automate.browserstack.com/builds/eaf81bfbbe769bba84f0f790ea2af1ecc05aff1c/sessions/0461bda2f1ce617cfacf7c94f0942c50424aefe3?auth_token=3628b504c60f0493a3fadefb9544198179fa8f791eeabf321477f563b0e73656,,2024-11-19 19:17:57:828
,Windows,7,firefox,110.0,hxxps://homemetamaskextorgc.webflow.io/,-1,Generic Not Found (1): Page not found,https://automate.browserstack.com/builds/eaf81bfbbe769bba84f0f790ea2af1ecc05aff1c/sessions/0461bda2f1ce617cfacf7c94f0942c50424aefe3?auth_token=3628b504c60f0493a3fadefb9544198179fa8f791eeabf321477f563b0e73656,,2024-11-19 19:18:0:183
,Windows,7,firefox,110.0,hxxps://io-ddesktop-ledggerliv.webflow.io/,0,Page allowed; not blocked,https://automate.browserstack.com/builds/eaf81bfbbe769bba84f0f790ea2af1ecc05aff1c/sessions/0461bda2f1ce617cfacf7c94f0942c50424aefe3?auth_token=3628b504c60f0493a3fadefb9544198179fa8f791eeabf321477f563b0e73656,,2024-11-19 19:18:2:22
,Windows,7,firefox,110.0,hxxps://layout-metamask-ext.webflow.io/,-1,Generic Not Found (1): Page not found,https://automate.browserstack.com/builds/eaf81bfbbe769bba84f0f790ea2af1ecc05aff1c/sessions/0461bda2f1ce617cfacf7c94f0942c50424aefe3?auth_token=3628b504c60f0493a3fadefb9544198179fa8f791eeabf321477f563b0e73656,,2024-11-19 19:18:3:618
,Windows,7,firefox,111.0,hxxps://docs.google.com/presentation/d/e/2PACX-1vQsd6Xnh_IU_K57GHcIHF6gIi30qS96eX5m1iVLkinx2W_kdOOKlhUprxHXDLv-x2S8jbyAGgyQX2d0/pub?start=false&amp;loop=false&amp;delayms=3000,0,Page allowed; not blocked,https://automate.browserstack.com/builds/eaf81bfbbe769bba84f0f790ea2af1ecc05aff1c/sessions/0c0bc9cc2cc803ede2030b47f422ac5926e68f4d?auth_token=b063b48e5d4b17b5be1d3c09a3951e48353402e4a365f33c0bbc8f07ffd48b8e,,2024-11-19 19:19:45:253
,Windows,7,firefox,111.0,hxxps://login-wise.aonenutrition.com/profile/en/,0,Page allowed; not blocked,https://automate.browserstack.com/builds/eaf81bfbbe769bba84f0f790ea2af1ecc05aff1c/sessions/0c0bc9cc2cc803ede2030b47f422ac5926e68f4d?auth_token=b063b48e5d4b17b5be1d3c09a3951e48353402e4a365f33c0bbc8f07ffd48b8e,,2024-11-19 19:19:48:646
,Windows,7,firefox,111.0,hxxps://shop.naturacenter.es/wise,0,Page allowed; not blocked,https://automate.browserstack.com/builds/eaf81bfbbe769bba84f0f790ea2af1ecc05aff1c/sessions/0c0bc9cc2cc803ede2030b47f422ac5926e68f4d?auth_token=b063b48e5d4b17b5be1d3c09a3951e48353402e4a365f33c0bbc8f07ffd48b8e,,2024-11-19 19:19:54:205
,Windows,7,firefox,111.0,hxxps://oolx.29415065.xyz/bye5n56j/VQgywL/8,-1,Generic Not Found (1): Page not found,https://automate.browserstack.com/builds/eaf81bfbbe769bba84f0f790ea2af1ecc05aff1c/sessions/0c0bc9cc2cc803ede2030b47f422ac5926e68f4d?auth_token=b063b48e5d4b17b5be1d3c09a3951e48353402e4a365f33c0bbc8f07ffd48b8e,,2024-11-19 19:19:56:535
,Windows,7,firefox,111.0,hxxps://accountid20242.wpenginepowered.com/user/login/,0,Page allowed; not blocked,https://automate.browserstack.com/builds/eaf81bfbbe769bba84f0f790ea2af1ecc05aff1c/sessions/0c0bc9cc2cc803ede2030b47f422ac5926e68f4d?auth_token=b063b48e5d4b17b5be1d3c09a3951e48353402e4a365f33c0bbc8f07ffd48b8e,,2024-11-19 19:19:58:752
,Windows,7,firefox,111.0,hxxps://allegrolokalnie.pl-prywatna-oferta-id43232.buzz/Ke-n-DPwPGIQFPdH2WO_Btz4kWqmqTZrLt6lRG5_A6zbftX-sfLzlP3lP7eLBw4nN6eiUjPtY6YxVbTxzewOyw==,-1,Cloudflare SSL Handshake (1): SSL handshake failed,https://automate.browserstack.com/builds/eaf81bfbbe769bba84f0f790ea2af1ecc05aff1c/sessions/0c0bc9cc2cc803ede2030b47f422ac5926e68f4d?auth_token=b063b48e5d4b17b5be1d3c09a3951e48353402e4a365f33c0bbc8f07ffd48b8e,,2024-11-19 19:20:1:42
,Windows,7,firefox,111.0,hxxps://bybit--llogin.webflow.io/,0,Page allowed; not blocked,https://automate.browserstack.com/builds/eaf81bfbbe769bba84f0f790ea2af1ecc05aff1c/sessions/0c0bc9cc2cc803ede2030b47f422ac5926e68f4d?auth_token=b063b48e5d4b17b5be1d3c09a3951e48353402e4a365f33c0bbc8f07ffd48b8e,,2024-11-19 19:20:3:175
,Windows,7,firefox,111.0,hxxps://homemetamaskextorgc.webflow.io/,-1,Generic Not Found (1): Page not found,https://automate.browserstack.com/builds/eaf81bfbbe769bba84f0f790ea2af1ecc05aff1c/sessions/0c0bc9cc2cc803ede2030b47f422ac5926e68f4d?auth_token=b063b48e5d4b17b5be1d3c09a3951e48353402e4a365f33c0bbc8f07ffd48b8e,,2024-11-19 19:20:5:25
,Windows,7,firefox,111.0,hxxps://io-ddesktop-ledggerliv.webflow.io/,0,Page allowed; not blocked,https://automate.browserstack.com/builds/eaf81bfbbe769bba84f0f790ea2af1ecc05aff1c/sessions/0c0bc9cc2cc803ede2030b47f422ac5926e68f4d?auth_token=b063b48e5d4b17b5be1d3c09a3951e48353402e4a365f33c0bbc8f07ffd48b8e,,2024-11-19 19:20:6:731
,Windows,7,firefox,111.0,hxxps://layout-metamask-ext.webflow.io/,-1,Generic Not Found (1): Page not found,https://automate.browserstack.com/builds/eaf81bfbbe769bba84f0f790ea2af1ecc05aff1c/sessions/0c0bc9cc2cc803ede2030b47f422ac5926e68f4d?auth_token=b063b48e5d4b17b5be1d3c09a3951e48353402e4a365f33c0bbc8f07ffd48b8e,,2024-11-19 19:20:7:950
,Windows,7,firefox,109.0,hxxps://docs.google.com/presentation/d/e/2PACX-1vQsd6Xnh_IU_K57GHcIHF6gIi30qS96eX5m1iVLkinx2W_kdOOKlhUprxHXDLv-x2S8jbyAGgyQX2d0/pub?start=false&amp;loop=false&amp;delayms=3000,0,Page allowed; not blocked,https://automate.browserstack.com/builds/eaf81bfbbe769bba84f0f790ea2af1ecc05aff1c/sessions/28a30d02ed949610007d35a81355b5a2d6992075?auth_token=88c11bfbb4e96920a577bf49d3d478bead2ca7bbdb0812e657f6910f3cc803d0,,2024-11-19 19:18:17:427
,Windows,7,firefox,109.0,hxxps://login-wise.aonenutrition.com/profile/en/,0,Page allowed; not blocked,https://automate.browserstack.com/builds/eaf81bfbbe769bba84f0f790ea2af1ecc05aff1c/sessions/28a30d02ed949610007d35a81355b5a2d6992075?auth_token=88c11bfbb4e96920a577bf49d3d478bead2ca7bbdb0812e657f6910f3cc803d0,,2024-11-19 19:18:23:363
,Windows,7,firefox,109.0,hxxps://shop.naturacenter.es/wise,0,Page allowed; not blocked,https://automate.browserstack.com/builds/eaf81bfbbe769bba84f0f790ea2af1ecc05aff1c/sessions/28a30d02ed949610007d35a81355b5a2d6992075?auth_token=88c11bfbb4e96920a577bf49d3d478bead2ca7bbdb0812e657f6910f3cc803d0,,2024-11-19 19:18:34:74
,Windows,7,firefox,109.0,hxxps://oolx.29415065.xyz/bye5n56j/VQgywL/8,-1,Generic Not Found (1): Page not found,https://automate.browserstack.com/builds/eaf81bfbbe769bba84f0f790ea2af1ecc05aff1c/sessions/28a30d02ed949610007d35a81355b5a2d6992075?auth_token=88c11bfbb4e96920a577bf49d3d478bead2ca7bbdb0812e657f6910f3cc803d0,,2024-11-19 19:18:36:773
,Windows,7,firefox,109.0,hxxps://accountid20242.wpenginepowered.com/user/login/,0,Page allowed; not blocked,https://automate.browserstack.com/builds/eaf81bfbbe769bba84f0f790ea2af1ecc05aff1c/sessions/28a30d02ed949610007d35a81355b5a2d6992075?auth_token=88c11bfbb4e96920a577bf49d3d478bead2ca7bbdb0812e657f6910f3cc803d0,,2024-11-19 19:18:38:869
,Windows,7,firefox,109.0,hxxps://allegrolokalnie.pl-prywatna-oferta-id43232.buzz/Ke-n-DPwPGIQFPdH2WO_Btz4kWqmqTZrLt6lRG5_A6zbftX-sfLzlP3lP7eLBw4nN6eiUjPtY6YxVbTxzewOyw==,-1,Cloudflare SSL Handshake (1): SSL handshake failed,https://automate.browserstack.com/builds/eaf81bfbbe769bba84f0f790ea2af1ecc05aff1c/sessions/28a30d02ed949610007d35a81355b5a2d6992075?auth_token=88c11bfbb4e96920a577bf49d3d478bead2ca7bbdb0812e657f6910f3cc803d0,,2024-11-19 19:18:41:74
,Windows,7,firefox,109.0,hxxps://bybit--llogin.webflow.io/,0,Page allowed; not blocked,https://automate.browserstack.com/builds/eaf81bfbbe769bba84f0f790ea2af1ecc05aff1c/sessions/28a30d02ed949610007d35a81355b5a2d6992075?auth_token=88c11bfbb4e96920a577bf49d3d478bead2ca7bbdb0812e657f6910f3cc803d0,,2024-11-19 19:18:43:35
,Windows,7,firefox,109.0,hxxps://homemetamaskextorgc.webflow.io/,-1,Generic Not Found (1): Page not found,https://automate.browserstack.com/builds/eaf81bfbbe769bba84f0f790ea2af1ecc05aff1c/sessions/28a30d02ed949610007d35a81355b5a2d6992075?auth_token=88c11bfbb4e96920a577bf49d3d478bead2ca7bbdb0812e657f6910f3cc803d0,,2024-11-19 19:18:44:943
,Windows,7,firefox,109.0,hxxps://io-ddesktop-ledggerliv.webflow.io/,0,Page allowed; not blocked,https://automate.browserstack.com/builds/eaf81bfbbe769bba84f0f790ea2af1ecc05aff1c/sessions/28a30d02ed949610007d35a81355b5a2d6992075?auth_token=88c11bfbb4e96920a577bf49d3d478bead2ca7bbdb0812e657f6910f3cc803d0,,2024-11-19 19:18:46:479
